W[21:32:58,616] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21922 to 172.16.66.19:50300  decided until 21921 received 22471
W[21:32:58,617] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21923 to 172.16.66.19:50300  decided until 21922 received 22484
W[21:32:58,617] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21924 to 172.16.66.19:50300  decided until 21923 received 22486
W[21:32:58,618] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21925 to 172.16.66.19:50300  decided until 21924 received 22501
W[21:32:58,618] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21926 to 172.16.66.19:50300  decided until 21925 received 22514
W[21:32:58,619] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21927 to 172.16.66.19:50300  decided until 21926 received 22532
W[21:32:58,619] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21928 to 172.16.66.19:50300  decided until 21927 received 22537
W[21:32:58,620] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21929 to 172.16.66.19:50300  decided until 21928 received 22558
W[21:32:58,620] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21930 to 172.16.66.19:50300  decided until 21929 received 22575
W[21:32:58,621] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21931 to 172.16.66.19:50300  decided until 21930 received 22587
W[21:32:58,621] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21932 to 172.16.66.19:50300  decided until 21931 received 22589
W[21:32:58,622] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21934 to 172.16.66.19:50300  decided until 21933 received 22603
W[21:32:58,623] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21934
W[21:32:58,624] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21935
W[21:32:58,624] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21936
W[21:32:58,625] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21937
W[21:32:58,625] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21938
W[21:32:58,626] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21939
W[21:32:58,627] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21940
W[21:32:58,627] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21941
W[21:32:58,627] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21942
W[21:32:58,628] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21943
W[21:32:58,628] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21944
W[21:32:58,629] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21945
W[21:32:58,630] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21946
W[21:32:58,630] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21947
W[21:32:58,631] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21949
W[21:32:58,632] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21984 to 172.16.66.19:50300  decided until 21983 received 22849
W[21:32:58,633] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21985 to 172.16.66.19:50300  decided until 21984 received 22870
W[21:32:58,633] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21986 to 172.16.66.19:50300  decided until 21985 received 22871
W[21:32:58,633] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21987 to 172.16.66.19:50300  decided until 21986 received 22872
W[21:32:58,634] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21988 to 172.16.66.19:50300  decided until 21987 received 22887
W[21:32:58,635] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21989 to 172.16.66.19:50300  decided until 21988 received 22902
W[21:32:58,635] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21990 to 172.16.66.19:50300  decided until 21989 received 22903
W[21:32:58,636] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21991 to 172.16.66.19:50300  decided until 21990 received 22922
W[21:32:58,636] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21992 to 172.16.66.19:50300  decided until 21991 received 22939
W[21:32:58,637] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21993 to 172.16.66.19:50300  decided until 21992 received 22940
W[21:32:58,637] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21999
W[21:32:58,638] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 22000
W[21:32:58,638] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 22001
W[21:32:58,639] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 22002
W[21:32:58,640] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 22003
W[21:32:58,640] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 22004
W[21:32:58,641] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 22005
W[21:32:58,641] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 22006
W[21:32:58,642] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 22007
W[21:32:58,642] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 22008
W[21:32:58,643] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 22051 to 172.16.66.19:50300  decided until 22050 received 23085
W[21:32:58,643] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 22052 to 172.16.66.19:50300  decided until 22051 received 23093
W[21:32:58,644] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 22053 to 172.16.66.19:50300  decided until 22052 received 23102
W[21:32:58,644] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 22054 to 172.16.66.19:50300  decided until 22053 received 23118
W[21:32:58,645] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 22055 to 172.16.66.19:50300  decided until 22054 received 23119
W[21:32:58,645] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 22056 to 172.16.66.19:50300  decided until 22055 received 23137
W[21:32:58,645] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 22057 to 172.16.66.19:50300  decided until 22056 received 23145
W[21:32:58,646] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 22058 to 172.16.66.19:50300  decided until 22057 received 23152
W[21:32:58,646] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 22059 to 172.16.66.19:50300  decided until 22058 received 23153
W[21:32:58,646] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 22060 to 172.16.66.19:50300  decided until 22059 received 23171
W[21:32:58,646] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 22061 to 172.16.66.19:50300  decided until 22060 received 23172
W[21:32:58,647] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 22062 to 172.16.66.19:50300  decided until 22061 received 23184
W[21:32:58,647] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 22063 to 172.16.66.19:50300  decided until 22062 received 23192
W[21:32:58,647] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 22064 to 172.16.66.19:50300  decided until 22063 received 23193
W[21:32:58,648] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 22065 to 172.16.66.19:50300  decided until 22064 received 23202
W[21:32:58,648] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 22066
W[21:32:58,648] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 22067 to 172.16.66.19:50300  decided until 22066 received 23223
W[21:32:58,649] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 22067
W[21:32:58,649] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 22068 to 172.16.66.19:50300  decided until 22067 received 23237
W[21:32:58,649] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 22068
