W[18:46:15,180] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016334 to 172.16.66.12:50300  decided until 2016333 received 2016630
W[18:46:15,181] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016335 to 172.16.66.12:50300  decided until 2016334 received 2016631
W[18:46:15,182] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016336 to 172.16.66.12:50300  decided until 2016335 received 2016632
W[18:46:15,183] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016337 to 172.16.66.12:50300  decided until 2016336 received 2016633
W[18:46:15,183] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016338 to 172.16.66.12:50300  decided until 2016337 received 2016634
W[18:46:15,184] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016339 to 172.16.66.12:50300  decided until 2016338 received 2016635
W[18:46:15,185] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016340 to 172.16.66.12:50300  decided until 2016339 received 2016636
W[18:46:15,186] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016341 to 172.16.66.12:50300  decided until 2016340 received 2016637
W[18:46:15,186] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016342 to 172.16.66.12:50300  decided until 2016341 received 2016638
W[18:46:15,187] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016343 to 172.16.66.12:50300  decided until 2016342 received 2016639
W[18:46:21,930] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2519593 to 172.16.66.12:50300  decided until 2519592 received 2519655
W[18:46:21,931] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2519594 to 172.16.66.12:50300  decided until 2519593 received 2519656
W[18:46:21,931] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2519595 to 172.16.66.12:50300  decided until 2519594 received 2519658
W[18:46:21,931] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2519596 to 172.16.66.12:50300  decided until 2519595 received 2519660
W[18:46:21,932] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2519597 to 172.16.66.12:50300  decided until 2519596 received 2519680
W[18:46:21,932] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2519598 to 172.16.66.12:50300  decided until 2519597 received 2519681
W[18:46:21,933] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2519599 to 172.16.66.12:50300  decided until 2519598 received 2519682
