W[18:37:31,521] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449252 to 172.16.66.12:50300  decided until 449251 received 449550
W[18:37:31,522] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449253 to 172.16.66.12:50300  decided until 449252 received 449551
W[18:37:31,523] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449254 to 172.16.66.12:50300  decided until 449253 received 449552
W[18:37:31,523] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449255 to 172.16.66.12:50300  decided until 449254 received 449553
W[18:37:36,363] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883090 to 172.16.66.12:50300  decided until 883089 received 883140
W[18:37:36,364] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883091 to 172.16.66.12:50300  decided until 883090 received 883142
W[18:37:36,365] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883092 to 172.16.66.12:50300  decided until 883091 received 883225
W[18:37:36,365] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883093 to 172.16.66.12:50300  decided until 883092 received 883226
W[18:37:36,365] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883094 to 172.16.66.12:50300  decided until 883093 received 883313
W[18:37:36,366] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883095 to 172.16.66.12:50300  decided until 883094 received 883316
W[18:37:36,366] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883096 to 172.16.66.12:50300  decided until 883095 received 883393
W[18:37:36,367] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883097 to 172.16.66.12:50300  decided until 883096 received 883394
W[18:37:36,367] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883098 to 172.16.66.12:50300  decided until 883097 received 883395
W[18:37:36,368] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883099 to 172.16.66.12:50300  decided until 883098 received 883396
W[18:37:36,368] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883100 to 172.16.66.12:50300  decided until 883099 received 883397
W[18:37:36,368] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883101 to 172.16.66.12:50300  decided until 883100 received 883398
W[18:37:36,369] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883102 to 172.16.66.12:50300  decided until 883101 received 883399
W[18:37:36,369] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883103 to 172.16.66.12:50300  decided until 883102 received 883400
W[18:37:36,369] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883104 to 172.16.66.12:50300  decided until 883103 received 883401
W[18:37:36,370] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883105 to 172.16.66.12:50300  decided until 883104 received 883402
W[18:37:36,370] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883106 to 172.16.66.12:50300  decided until 883105 received 883403
W[18:37:36,370] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883107 to 172.16.66.12:50300  decided until 883106 received 883404
W[18:37:36,371] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883108 to 172.16.66.12:50300  decided until 883107 received 883405
W[18:37:36,371] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883109 to 172.16.66.12:50300  decided until 883108 received 883406
W[18:37:36,371] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883110 to 172.16.66.12:50300  decided until 883109 received 883407
W[18:37:36,372] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883111 to 172.16.66.12:50300  decided until 883110 received 883408
W[18:37:36,373] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883112 to 172.16.66.12:50300  decided until 883111 received 883409
W[18:37:36,373] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883113 to 172.16.66.12:50300  decided until 883112 received 883410
W[18:37:36,373] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883114 to 172.16.66.12:50300  decided until 883113 received 883411
W[18:37:36,374] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883115 to 172.16.66.12:50300  decided until 883114 received 883412
