W[18:37:27,162] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51037 to 172.16.66.64:50300  decided until 51036 received 56689
W[18:37:27,163] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51038 to 172.16.66.64:50300  decided until 51037 received 56840
W[18:37:27,165] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51039 to 172.16.66.64:50300  decided until 51038 received 57044
W[18:37:27,167] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51268
W[18:37:27,172] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51269
W[18:37:27,173] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51270
W[18:37:27,174] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51271
W[18:37:27,174] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51272
W[18:37:27,175] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51273
W[18:37:27,176] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51274
W[18:37:27,177] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51275
W[18:37:27,178] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51276
W[18:37:27,179] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51277
W[18:37:27,179] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51278
W[18:37:27,180] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51279
W[18:37:27,181] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51280
W[18:37:27,183] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51281
W[18:37:27,185] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51282
W[18:37:27,187] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51283
W[18:37:27,188] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51284
W[18:37:27,189] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51285
W[18:37:27,190] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51286
W[18:37:27,191] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51287
W[18:37:27,191] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51288
W[18:37:27,192] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51289
W[18:37:27,193] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51290
W[18:37:27,194] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51291
W[18:37:27,196] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51292
W[18:37:27,197] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51293
W[18:37:27,198] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51294
W[18:37:27,199] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51295
W[18:37:27,200] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51296
W[18:37:27,201] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51297
W[18:37:27,202] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51298
W[18:37:27,202] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51299
W[18:37:27,203] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51300
